By Breville,Home /Recipes/Main Courses/Meat/Beef en Daube/,Beef en Daube,Makes 6 servings,1½kg chuck steak cut into 3cm cubes  1 tablespoon sea salt  1 teaspoon freshly ground black pepper  2 tablespoons olive oil  2 onions thinly sliced  1 (750ml) bottle dry white wine  2 tablespoons Dijon mustard  400g can peeled plum tomatoes in juice  2 garlic cloves halved  1 bouquet garni (bay leaf fresh thyme flat leaf parsley tied together with twine)  Chopped flat leaf parsley for garnish  ,In a large bowl toss the beef with the salt and pepper to coat evenly. Select SEAR and preheat the cooking bowl. Heat the olive oil until shimmering then add half the beef and brown on all sides 3 to 4 minutes. Transfer to a bowl. Repeat with the remaining beef and transfer to the bowl. Add the onions and cook until softened about 5 minutes. Add the white wine and bring to a simmer stirring to scrape up the browned bits. Cook until reduced by almost half 5 to 7 minutes. Whisk in the Dijon mustard. Return the beef and its juices to the cooking bowl along with the tomatoes garlic and bouquet garni. Select PRESSURE COOK or SLOW COOK CASSEROLE. When cooking has completed open the lid and transfer the beef tomatoes and onions to a serving bowl. Select REDUCE and desired heat level. Skim any fat off the top and cook until sauce thickens to desired consistency about 5 minutes. Pour the sauce over the beef top with chopped flat leaf parsley and serve immediately.
By Tested and perfected in the Sur la Table kitchen,Home /Recipes/Main Courses/Seafood/Pan-Seared Scallops with Prosecco Butter Sauce/,Pan-Seared Scallops with Prosecco Butter Sauce,Makes 4 servings,2 tablespoons canola or vegetable oil 1-½ pounds sea scallops tough ligament removed from the side  Kosher salt and freshly ground black pepper 1 tablespoon olive oil if needed 1 small shallot minced 1 medium garlic clove minced 1 cup Prosecco  ¼ cup whipping cream 3 tablespoons unsalted butter cut into small pieces 1 tablespoon lemon juice 2 tablespoons chopped chives ,These succulent scallops are perfectly accompanied with sweet yet slightly acidic Prosecco in a delicate buttery sauce. For even cooking with a crisp exterior it is suggested that the exterior of the scallops are patted dry prior to cooking seasoned and allowed to reach room temperature before being placed into a hot pan. Remove the scallops from the refrigerator and season with salt and pepper. Allow to reach room temperature.To cook scallops: Place a large non-stick skillet over a high heat;  add canola oil and heat until the oil starts to shimmer. Carefully add the seasoned scallops to the skillet sear until browned on both sides and just opaque in the center-about 2 to 3 minutes per side depending on the size. Using tongs transfer the scallops to a plate and tent with foil to keep warm.To prepare the sauce: Return the skillet to the stove over a moderate heat and add the olive oil if the pan is dry. When the oil is shimmering add the shallots and cook until tender about 2 minutes. Add the garlic and cook until fragrant about 1 minute. Add the Prosecco; bring the liquid to a boil and cook scraping up the browned bits from the bottom of the pan with a silicone spatula. Pour in the cream and continue to cook until the mixture has thickened about 3 minutes. Remove the pan from the heat and whisk in the butter a little at a time.  Stir in the lemon juice and chives taste and adjust seasoning with salt and pepper. To serve: Divide the scallops between 4 warmed serving plates ladle the sauce over the top and serve immediately.
By Nordic Ware,Home /Recipes/Desserts/Cakes &amp; Custards/Dark Chocolate Skull Cakes/,Dark Chocolate Skull Cakes,Makes 12 servings,<b>For the Cakeletes:</b> 1 ½ cups all purpose flour ½ cup cake flour 1 cup extra-dark cocoa powder 2 teaspoons baking powder 1 teaspoon kosher salt 1 ½ cups butter softened 1 cup granulated sugar ¾ cup dark brown sugar packed 4 large eggs 2 teaspoons vanilla extract 1 teaspoon orange extract ½ teaspoon fiori di sicila 1 cup buttermilk ½ teaspoon black food color if desired <br><b>Chocolate Glaze:</b> 3.5 ounces bittersweet chocolate chopped ¼ cup heavy cream ,Add these spooky and festive Dark Chocolate Skull Cakes to your Halloween dessert table! The combination of rich and decadent dark chocolate with a hint of citrus will haunt and delight your guests using our must-have Skull Cakelet Pan.Preheat oven to 325&#176;F. Prepare the Skull Cakelet pan with baking spray or brush with butter and dust with cocoa. Whisk the flours cocoa powder baking powder and salt together. In a separate bowl of a stand mixer fitted with a paddle attachment mix the butter and sugars together until creamy and lightened about 2-3 minutes. Add eggs one at a time mixing well after each. Add the extracts. Put the mixer on low speed and add the buttermilk alternately with the dry ingredients in 4 additions. Mix until smooth. Add black food color to desired shade if using. Fill pan no more than &#190; full in each well. Tap pan on top of a cutting board covered with a heavy kitchen towel to evenly distribute batter and eliminate air bubbles from the batter. Bake for 30-35 minutes. Allow cakelets to cool in pan 5-8 minutes before inverting onto a cooling rack. Repeat with remaining batter.Prepare the glaze by adding chocolate to a heat-proof bowl. Warm cream until just beginning to steam and pour over chocolate stirring with a spatula to incorporate while chocolate melts. When all chocolate has melted pour over cooled cakeletes. Garnish as desired with candy decorations or decorating sprinkles. Makes 12 cakes.
By All-Clad,Home /Recipes/Soups &amp; Stews/Stews/White Turkey Chili/,White Turkey Chili,Makes 6 servings,1 medium onion ¼ cup poblano pepper 2 cloves garlic 2 Tbsp vegetable oil 1 lb ground turkey 4 cups chicken broth 1 (15-ounce) can Northern beans 1 (15-ounce) can white and yellow corn ¼ cup long grain white rice 1½ tsp ground cumin ¾ tsp marjoram ¾ tsp savory leaves ½ tsp salt ¼ tsp pepper ,This recipe was designed for the All-Clad Prep & Cook.Peel the onion and cut into 6 pieces. Deseed and coarsely chop the poblano pepper. Peel and halve the garlic. Rinse and drain the beans and corn.Place the onion poblano pepper and garlic in the bowl fitted with the ultrablade knife. Mix at speed 12 for 10 seconds. Scrape down the sides of the bowl.Replace the ultrablade knife with the mixer. Add oil and launch the P1 simmer program at 270&#176;F for 5 minutes.Add turkey and relaunch the P1 simmer program for 6 minutes; break up large chunks of meat.Add all remaining ingredients and launch the P2 simmer program without the stopper for 15 minutes. Serve with sour cream shredded cheese and chopped cilantro leaves.
By Tested and perfected in the Sur la Table kitchen,Home /Recipes/Sandwiches/Turkey Meatball Naan’wich with Yogurt and Pickled Vegetables//,,Makes 4 servings,5 pieces whole-grain naan ½ cup water 1 medium tomato seeded and chopped 1 carrot peeled and chopped 1 red bell pepper seeded and chopped 1 pound ground turkey 1 egg white beaten 1 tablespoon chopped fresh oregano (or 1 teaspoon dried)  ½ teaspoon sea salt ½  teaspoons freshly ground black pepper 1 tablespoon grapeseed oil 1 cup plain Greek yogurt 1 cup giardiniera (Italian pickled vegetables) chopped liquid reserved 1 romaine lettuce heart finely chopped ,Heat oven to 425&#176;F. Cut one of the pieces of naan in half; save remaining half for another use. Tear into small pieces and place in a small bowl with water.Juice the tomato carrot and bell pepper. Place the vegetable pulp in a large bowl with the turkey; reserve juice for another use. Add egg white oregano salt and pepper. Squeeze excess water from soaking naan; add to the bowl with the turkey and mix well. Form the mixture into 16 balls.Heat oil in a large skillet over medium heat. Place meatballs in skillet and sear until golden about 3 minutes. Flip meatballs over and place the skillet into the oven. Bake until meatballs reach 165&#176;F internal temperature about 10 minutes. Wrap remaining 4 naan in aluminum foil and place in oven to warm for a few minutes. Meanwhile combine yogurt and 2 tablespoons of giardiniera liquid. To assemble spread about 2 tablespoons of yogurt sauce on each pita top with 4 meatballs chopped giardiniera and a handful of romaine.
By Recipe developed for Sur La Table&rsquo;s Cooking Classes,Home /Recipes/Sandwiches/Cheddar and Bacon Stuffed Grilled Burgers//,,Makes 4 servings,2 pounds lean ground beef preferably ground sirloin 1 teaspoon salt ½ teaspoon freshly ground black pepper 1½ cups grated sharp cheddar cheese ½ pound bacon chopped and cooked crisp crumbled (optional) Vegetable oil for brushing grill grates  4 fresh-baked hamburger buns   1 large sweet onion preferably Vidalia thinly sliced Romaine lettuce leaves sliced tomatoes ketchup and mustard as desired ,The amazing inside-out cheeseburger! Toppings and condiments go on the inside so every bite is filled with melted cheese caramelized onions or whatever you like. Make &#8217;em awesome and easy with our Stuff-A-Burger&#8482; Set.Place ground beef in a large mixing bowl. Season with salt and pepper and mix gently to combine. Divide ground beef into four 8-ounce portions and divide again making eight approximately 1-inch thick patties.Fill the Stuff-A-Burger Press with the seasoned ground beef. Press together firmly to seal the patty. Top the patty with the grated cheddar cheese and cooked bacon if using. Top with another 1-inch thick patty and press down again. Pop sealed burger out and place in the grill basket. Repeat with other patties.Prepare a moderate charcoal fire preheat a gas grill to medium or heat a large grill pan over medium heat. Brush grill grates or grill pan with a thin coating of oil using a silicone pastry brush. Grill the prepared hamburger patties approximately 3 to 4 minutes on each side for a medium-rare hamburger. Place the buns face down on the hot grill until lightly browned.To serve: place the burger on the bottom of each bun and top each burger with sliced onion. Top with other condiments as desired. Cover with toasted bun tops and serve immediately.
By The Modern Proper,Home /Recipes/Breakfast/Doughnuts, Muffins &amp; More/Orange Pecan Cinnamon Rolls with Orange Caramel Sauce/,Orange Pecan Cinnamon Rolls with Orange Caramel Sauce,Makes 12 to 15 rolls,2 cups milk ½ cup vegetable oil ½ cup sugar Zest of one orange 1 package active dry yeast 4½ cups all-purpose flour divided ½ heaping tsp baking powder ½ scant tsp baking soda 1½ tsp salt 1 cup butter browned 1 cup brown sugar 2 tbsp cinnamon ½ cup chopped pecans <br> <i>Caramel:</i> 1 cup fine baker’s sugar 1 cup cream 1 tsp salt Zest from one orange ,Heat the milk vegetable oil sugar and orange zest in a medium saucepan over medium heat. (Do not allow the mixture to boil.) Set aside and cool. When mixture has cooled to 100-110 degrees fahrenheit sprinkle the yeast on top and let it sit on the milk for 2 minutes.Add 4 cups of the flour. Stir until just combined cover with a clean kitchen towel and set aside in a relatively warm place for an hour.Remove the towel and add the baking powder baking soda salt and remaining &#189; cup of flour. Stir thoroughly to combine.Use the dough right away or place in a mixing bowl and refrigerate for up to 3 days punching down the dough if it rises to the top of the bowl.Remove the dough from the pan. On a floured baking surface roll the dough into a large rectangle about 30 x 10 inches.In a small bowl combine all filling ingredients until a soft paste is formed. Using the back a spoon evenly spread the filling to cover the entire surface of the dough. Beginning at the end farthest from you roll the rectangle tightly toward you. Use both hands and work slowly being careful to keep the roll tight. When you reach the end pinch the seam together. On a cutting board using a sharp knife make 1 &#189;-inch slices. 15-20 rolls.Lightly grease dutch oven well with butter. Place the sliced rolls in the pot being careful not to over crowd.Preheat oven to 375&#176;F. Cover rolls with a kitchen towel and set aside to rise on the countertop for at least 20 minutes before baking. Remove the towel and bake for 13 to 17 minutes until golden brown. Don’t let the rolls get overly brown.For the caramel sauce: place sugar in a small saucepan and just cover with water to achieve a wet sand consistency. bring to a boil but do not stir. Using a wet pastry brush clean down the sides of saucepan to remove any stray sugar crystals. Continue to boil until the sugar turns amber. At this point quickly remove from heat. In a small saucepan heat cream and orange zest to boiling point. Gradually add this to caramelised sugar stirring constantly to achieve a smooth consistency. This may take a while but it will eventually combine. Once combined add salt. (Timing is paramount with caramel. Both the cream and the sugar need to be really hot when they are combined.)After the rolls are finished baking and still warm generously drizzle caramel over the top. Be sure to get it all around the edges and over the top. As they sit the rolls will absorb some of the caramel and flavor. It goes without saying that these are best served warm but they are equally delicious even if made a day ahead. 
By E&rsquo;Cucina Home,Home /Recipes/Desserts/Pies, Pastries &amp; Tarts/Summer Strawberry Hand Pie/,Summer Strawberry Hand Pie,Makes 4 servings,¾ cups fresh strawberries mashed ¼ cup granulated sugar ¼ cup cornstarch 1 box refrigerated pie crusts softened as directed on box Powdered sugar for dusting if desired  ,Preheat Air Fryer to 320&#176;F.In a small saucepan stir together strawberries granulated sugar and cornstarch over medium heat.Heat to boiling. Cook 15 minutes stirring constantly until very thick.Unroll pie crusts onto floured work surface.Cut 8 rounds from each crust (approximately 3&#189;-inch rounds).Spoon 2 to 3 teaspoons of strawberry mixture on half of each crust.Fold top half of crust over filling and press edges with fork to seal.Place in Air Fryer and bake for approximately 12 to 15 minutes.Cool and sprinkle with powdered sugar.
By Bon App&eacute;tit,Home /Recipes/Main Courses/Meat/Spiced Brisket with Leeks and Dried Apricots from Bon App&#233;tit/,Spiced Brisket with Leeks and Dried Apricots from Bon App&#233;tit,Not specified,2½ Tbsp. honey 2 &nbsp;&nbsp;&nbsp;&nbsp;Tbsp. extra-virgin olive oil 2 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;tsp. coarse kosher salt 1 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; tsp. ground coriander 1 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;tsp. ground cumin 1 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;tsp. ground black pepper 1 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;tsp. ground cinnamon ¼ &nbsp;&nbsp;&nbsp;Tbsp. ground nutmeg 1 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(4½- to 5 ½ lb.) flat-cut (first-cut) brisket well-trimmed 2 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;medium leeks (white and pale green parts only) sliced 1 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;medium onion chopped 24 &nbsp;&nbsp;&nbsp;whole dried apricots divided 10 &nbsp;&nbsp;&nbsp;&nbsp;garlic cloves peeled 6 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;sprigs fresh thyme 2 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;bay leaves 2 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;cups dry red wine 1 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Tbsp. matzo cake meal &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Chopped fresh cilantro ,Stir first 8 ingredients in small bowl. Arrange brisket in large roasting pan; spread spice mixture evenly over both sides. Cover and refrigerate overnight.Preheat broiler. Uncover brisket. Broil until brown about 5 minutes per side. Turn brisket fat side up in pan.Set oven temperature to 325&#176;F. Sprinkle leeks onion 12 apricots garlic thyme and bay leaves around brisket. Pour wine over. Cover pan with heavy-duty foil and bake brisket until tender about 2&#189; hours. Uncover; cool 1&#189; hours.Transfer brisket to work surface. Pour juices into large measuring cup. Spoon off fat reserving 1 tablespoon. Thinly slice brisket across grain on slight diagonal; overlap slices in 15- x 10- x 2-inch glass baking dish. Spoon 1 cup degreased pan juices over brisket. Stir reserved 1 tablespoon fat and matzo cake meal in medium saucepan over medium heat 3 minutes. Add remaining degreased pan juices and remaining 12 apricots. Simmer until sauce thickens and boils stirring occasionally about 3 minutes. Season to taste with salt and pepper. DO AHEAD: Can be made 2 days ahead. Cover brisket and sauce separately and chill. Rewarm covered brisket in 350&#176;F oven 30 minutes or 45 minutes if chilled. Rewarm sauce over low heat.Sprinkle brisket with cilantro and serve with sauce.
By The Art &amp; Soul of Baking: Reprinted with permission of Andrews McMeel Publishing, recipes by Cindy Mushet, photography by Maren Caruso,Home /Recipes/Desserts/Cakes &amp; Custards/Classic Yellow Layer Cake/,Classic Yellow Layer Cake,Makes 8 to 10 servings,1 recipe Dark Chocolate Ganache prepared at least 8 hours ahead covered and stored at room temperature 1½ sticks (6 ounces) unsalted butter softened (65&deg; to 68&deg;F) ¾ cup (5¼ ounces) sugar 3 large eggs at room temperature 1 tablespoon pure vanilla extract 2 cups (7 ounces) sifted cake flour ¾ teaspoon baking soda ¼ teaspoon salt ⅓ cup (3 ounces) sour cream at room temperature ,This buttery vanilla-scented cake is a variation on pound cake with a little extra leavener added to lighten the crumb. Although nearly any frosting pairs well with this celebration favorite it is especially luscious filled and frosted with silken chocolate ganache for the two-toned birthday cake most of us remember from childhood. For a special party or tea make the mini cupcakes variation at the end of the recipe (shown at left) then top them with swirls of Cream Cheese Frosting and finish them with pretty Sugared Flowers and/or touches of gold leaf.Preheat the oven to 350&deg;F and position an oven rack in the center. Lightly coat the pan with melted butter oil or high-heat canola-oil spray and fit it with a round of parchment paper.Cream the butter with the sugar: Place the butter and sugar in the bowl of the stand mixer and beat on medium until very light&#45;almost white&#45;in color 4 to 5 minutes. You can also use a hand mixer and a medium bowl although you may need to beat the mixture a little longer to achieve the same results. Scrape down the bowl with the spatula.Add the eggs: Beat the eggs and vanilla in the small bowl to blend. With the mixer on medium add the eggs to the butter mixture about 1 tablespoon at a time allowing each addition to completely blend in before adding the next. About halfway through turn off the mixer and scrape down the bowl then resume adding the eggs. Scrape down the bowl again.Add the dry and wet ingredients alternately: With the fine-mesh strainer sift the cake flour baking soda and salt into the medium bowl and whisk together. With the mixer on the lowest speed add the flour mixture and the sour cream alternately beginning with one-third of the flour mixture and half the sour cream; repeat then finish with flour mixture. Scrape down the bowl and finish blending the batter by hand if necessary.Bake the cake: Scrape the batter into the prepared pan and smooth the top. Bake for 30 to 35 minutes until firm to the touch and a toothpick inserted into the center comes out clean. Transfer to a rack to cool completely.Unmold the cake: Run the thin and flexible knife or spatula around the edge of the pan to loosen the cake. Place the cardboard on top of the pan hold both together and flip over. Remove the pan leaving the parchment on the cake. Flip again onto a second cake cardboard (or a plate) so the cake is right side up. Level the cake if necessary. Using a serrated knife slice the cake horizontally into two layers.Assemble and frost the cake: Place the cake cardboard (or plate) on your work surface. Flip the top layer of cake over and place it cut side up on thecardboard&#45;this will be the bottom of the cake. With the icing spatula spread 1 cup of ganache evenly over the surface of the cake all the way to the edge. Flip the bottom layer and slide it cut side down into place on top of the ganache. Peel off the parchment paper. Voil&agrave;&#45;a crumb-free surface for frosting. Spread a very thin layer of the frosting known as a crumb coat over the cake. Chill for 15 minutes just to set the crumb coat. Use the remaining ganache to frost the top and side of the cake. Use a spoon to create swirls all over the top by gently pressing the tip of the spoon rounded edge down into the frosting in a back-and-forth motion. To serve: slice the cake with a thin and sharp knife.Storing: The cake can be stored at room temperature for 2 days or in the refrigeratorf r up to 4 days. Be sure to remove it from the refrigerator at least 1 hour before serving toal ow the cake and frosting to soften to the perfect eating consistency. Once cut there is nonee  to wrap the whole cake with plastic; simply press a piece of plastic wrap firmly againstthe  ut surfaces to keep the cake fresh.To make Classic White Lay
